tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
ZZEF1	-	-	ZZEF1	ZZEF1	TSS16006	chr17:3907738-4046253	-	-	0	0	0	OK
SPNS3	-	-	SPNS3	SPNS3	TSS15197	chr17:4337218-4391499	-	-	0	0	0	OK
UBE2G1	-	-	UBE2G1	UBE2G1	TSS13910	chr17:4172511-4269969	-	-	0	0	0	OK
CYB5D2	-	-	CYB5D2	CYB5D2	TSS22080,TSS25677	chr17:4046461-4060995	-	-	0	0	0	OK
ANKFY1	-	-	ANKFY1	ANKFY1	TSS19498	chr17:4066664-4167274	-	-	0	0	0	OK
ATP2A3	-	-	ATP2A3	ATP2A3	TSS27666	chr17:3827162-3867758	-	-	0	0	0	OK
SMTNL2	-	-	SMTNL2	SMTNL2	TSS10306,TSS3524	chr17:4487275-4511614	-	-	0	0	0	OK
GGT6	-	-	GGT6	GGT6	TSS26410	chr17:4460221-4463876	-	-	0	0	0	OK
ALOX15	-	-	ALOX15	ALOX15	TSS14644	chr17:4534213-4544960	-	-	0	0	0	OK
PELP1	-	-	PELP1	PELP1	TSS14868	chr17:4574678-4607632	-	-	0	0	0	OK
SPNS2	-	-	SPNS2	SPNS2	TSS7795	chr17:4402128-4443228	-	-	0	0	0	OK
MYBBP1A	-	-	MYBBP1A	MYBBP1A	TSS18725	chr17:4442190-4458681	-	-	0	0	0	OK
ARRB2	-	-	ARRB2	ARRB2	TSS23498	chr17:4613788-4624795	-	-	0	0	0	OK
TM4SF5	-	-	TM4SF5	TM4SF5	TSS3256	chr17:4675186-4686506	-	-	0	0	0	OK
ZMYND15	-	-	ZMYND15	ZMYND15	TSS21510,TSS29050	chr17:4643318-4649410	-	-	0	0	0	OK
VMO1	-	-	VMO1	VMO1	TSS15402	chr17:4688579-4689729	-	-	0	0	0	OK
MED11	-	-	MED11	MED11	TSS25664	chr17:4634722-4636896	-	-	0	0	0	OK
CXCL16	-	-	CXCL16	CXCL16	TSS7887	chr17:4636827-4643223	-	-	0	0	0	OK
GLTPD2	-	-	GLTPD2	GLTPD2	TSS27019	chr17:4692253-4693884	-	-	0	0	0	OK
PSMB6	-	-	PSMB6	PSMB6	TSS27604	chr17:4699456-4701790	-	-	0	0	0	OK
PLD2	-	-	PLD2	PLD2	TSS17292	chr17:4710395-4726727	-	-	0	0	0	OK
GP1BA	-	-	GP1BA	GP1BA	TSS5653	chr17:4835591-4838325	-	-	0	0	0	OK
SLC25A11	-	-	SLC25A11	SLC25A11	TSS15406	chr17:4840425-4843462	-	-	0	0	0	OK
MINK1	-	-	MINK1	MINK1	TSS7320	chr17:4736634-4801356	-	-	0	0	0	OK
C17orf107	-	-	C17orf107	C17orf107	TSS27197	chr17:4802947-4806227	-	-	0	0	0	OK
CHRNE	-	-	CHRNE	CHRNE	TSS10003	chr17:4801063-4806369	-	-	0	0	0	OK
RNF167	-	-	RNF167	RNF167	TSS28202	chr17:4843629-4848517	-	-	0	0	0	OK
PFN1	-	-	PFN1	PFN1	TSS24577	chr17:4848946-4851825	-	-	0	0	0	OK
SPAG7	-	-	SPAG7	SPAG7	TSS15609	chr17:4862520-4871132	-	-	0	0	0	OK
ENO3	-	-	ENO3	ENO3	TSS3082	chr17:4854383-4860426	-	-	0	0	0	OK
ZNF232	-	-	ZNF232	ZNF232	TSS27467	chr17:5009030-5026397	-	-	0	0	0	OK
ZFP3	-	-	ZFP3	ZFP3	TSS5154	chr17:4981753-4999669	-	-	0	0	0	OK
KIF1C	-	-	KIF1C	KIF1C	TSS2034	chr17:4901242-4931694	-	-	0	0	0	OK
INCA1	-	-	INCA1	INCA1	TSS15724	chr17:4891424-4900905	-	-	0	0	0	OK
GPR172B	-	-	GPR172B	GPR172B	TSS14696	chr17:4935896-4938727	-	-	0	0	0	OK
CAMTA2	-	-	CAMTA2	CAMTA2	TSS13629,TSS399	chr17:4871286-4890960	-	-	0	0	0	OK
USP6	-	-	USP6	USP6	TSS11423	chr17:5031686-5078324	-	-	0	0	0	OK
DHX33	-	-	DHX33	DHX33	TSS13426	chr17:5344231-5372380	-	-	0	0	0	OK
ZNF594	-	-	ZNF594	ZNF594	TSS16001	chr17:5082830-5095178	-	-	0	0	0	OK
RABEP1	-	-	RABEP1	RABEP1	TSS19787	chr17:5185557-5289132	-	-	0	0	0	OK
LOC728392	-	-	LOC728392	LOC728392	TSS6819	chr17:5402746-5404319	-	-	0	0	0	OK
LOC100130950	-	-	LOC100130950	LOC100130950	TSS2297	chr17:5095378-5138931	-	-	0	0	0	OK
SCIMP	-	-	SCIMP	SCIMP	TSS9142	chr17:5113900-5138083	-	-	0	0	0	OK
MIS12	-	-	MIS12	MIS12	TSS17339	chr17:5390246-5394130	-	-	0	0	0	OK
DERL2	-	-	DERL2	DERL2	TSS23972	chr17:5377612-5389494	-	-	0	0	0	OK
LOC339166	-	-	LOC339166	LOC339166	TSS15522	chr17:5675553-5834016	-	-	0	0	0	OK
WSCD1	-	-	WSCD1	WSCD1	TSS15950	chr17:5973933-6027747	-	-	0	0	0	OK
FAM64A	-	-	FAM64A	FAM64A	TSS23789	chr17:6347734-6354385	-	-	0	0	0	OK
AIPL1	-	-	AIPL1	AIPL1	TSS22749	chr17:6327058-6338519	-	-	0	0	0	OK
NLRP1	-	-	NLRP1	NLRP1	TSS18466	chr17:5404718-5487832	-	-	0	0	0	OK
NUP88	-	-	NUP88	NUP88	TSS5088	chr17:5289345-5323059	-	-	0	0	0	OK
C1QBP	-	-	C1QBP	C1QBP	TSS18334	chr17:5336098-5342471	-	-	0	0	0	OK
RPAIN	-	-	RPAIN	RPAIN	TSS23686	chr17:5322960-5336340	-	-	0	0	0	OK
C17orf100	-	-	C17orf100	C17orf100	TSS25389	chr17:6555058-6556617	-	-	0	0	0	OK
PITPNM3	-	-	PITPNM3	PITPNM3	TSS13040	chr17:6354582-6459877	-	-	0	0	0	OK
MIR4520A	-	-	MIR4520A	MIR4520A	TSS11658	chr17:6558758-6558828	-	-	0	0	0	OK
MIR4520B	-	-	MIR4520B	MIR4520B	TSS26898	chr17:6558767-6558821	-	-	0	0	0	OK
SLC13A5	-	-	SLC13A5	SLC13A5	TSS28620	chr17:6588038-6616740	-	-	0	0	0	OK
ALOX15P1	-	-	ALOX15P1	ALOX15P1	TSS6880	chr17:6561037-6564701	-	-	0	0	0	OK
FBXO39	-	-	FBXO39	FBXO39	TSS425	chr17:6679551-6690965	-	-	0	0	0	OK
XAF1	-	-	XAF1	XAF1	TSS3468	chr17:6659155-6678964	-	-	0	0	0	OK
KIAA0753	-	-	KIAA0753	KIAA0753	TSS5513	chr17:6481644-6544247	-	-	0	0	0	OK
MED31	-	-	MED31	MED31	TSS8826	chr17:6546632-6554954	-	-	0	0	0	OK
TXNDC17	-	-	TXNDC17	TXNDC17	TSS21814	chr17:6544221-6547861	-	-	0	0	0	OK
