"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Entrez","Symbol","Name"
"ENSG00000117519",4483.62709360346,-2.42271923981601,0.0600016218982935,-40.3775625252709,0,0,"1266","CNN3","calponin 3"
"ENSG00000183508",2053.88135557663,3.20195534795427,0.0724172014757454,44.215397484349,0,0,"54855","TENT5C","terminal nucleotidyltransferase 5C"
"ENSG00000159176",5692.46278267679,-2.31373756503587,0.0575533663106313,-40.201602675124,0,0,"1465","CSRP1","cysteine and glycine rich protein 1"
"ENSG00000150938",7442.98631416393,-2.05963137024161,0.0538449075112274,-38.2511822461976,0,0,"51232","CRIM1","cysteine rich transmembrane BMP regulator 1"
"ENSG00000116016",4423.94665216876,-1.8880193725334,0.0431679917758774,-43.7365579185558,0,0,"2034","EPAS1","endothelial PAS domain protein 1"
"ENSG00000136068",3796.1265394147,-1.64979200672636,0.0439354370533387,-37.550372031658,0,0,"2317","FLNB","filamin B"
"ENSG00000164251",2348.7701339719,3.3445083321361,0.0690717572655209,48.4207795565323,0,0,"2150","F2RL1","F2R like trypsin receptor 1"
"ENSG00000124766",2576.65254960143,2.39228794576996,0.061708615181298,38.7674871448904,0,0,"6659","SOX4","SRY-box transcription factor 4"
"ENSG00000124762",28106.1191885778,1.83225777686374,0.0388966414279821,47.1058093860418,0,0,"1026","CDKN1A","cyclin dependent kinase inhibitor 1A"
"ENSG00000106366",43719.1260988373,-1.84404649934342,0.0419164996608882,-43.993332321689,0,0,"5054","SERPINE1","serpin family E member 1"
"ENSG00000188153",2944.12640623352,2.26608046261254,0.0552681287921954,41.0015774395557,0,0,"1287","COL4A5","collagen type IV alpha 5 chain"
"ENSG00000122861",28007.1433373973,2.26252546550258,0.0552183311595176,40.9741732137191,0,0,"5328","PLAU","plasminogen activator, urokinase"
"ENSG00000148773",1840.19727265675,-3.19605832567065,0.0757850351652842,-42.1726838115225,0,0,"4288","MKI67","marker of proliferation Ki-67"
"ENSG00000059804",3443.39680712992,2.07976295761977,0.054325434913582,38.2834110933146,0,0,"6515","SLC2A3","solute carrier family 2 member 3"
"ENSG00000123416",4420.07398793879,-1.93841810360098,0.0505768630461291,-38.3261828997388,0,0,"10376","TUBA1B","tubulin alpha 1b"
"ENSG00000139289",12942.9106281238,2.03736205042694,0.0462973434178553,44.0060249686207,0,0,"22822","PHLDA1","pleckstrin homology like domain family A member 1"
"ENSG00000125257",6050.78726438958,1.9505494949135,0.0435953844406074,44.7421102013872,0,0,"10257","ABCC4","ATP binding cassette subfamily C member 4"
"ENSG00000211448",1884.75741158654,2.52372169452888,0.0653981298931794,38.590120216757,0,0,"1734","DIO2","iodothyronine deiodinase 2"
"ENSG00000128917",1307.34250385583,3.85825311457409,0.0865185432075104,44.594522417238,0,0,"54567","DLL4","delta like canonical Notch ligand 4"
